Date,close,high,low,open,volume,year,month,day,day_of_week
1987-01-19,0.1362232267856598,0.1362232267856598,0.1287733756308075,0.1314344347602447,88243200,1987,1,19,0
1987-01-20,0.138351634144783,0.1415447784478451,0.1356911860007782,0.1362232792833759,95760000,1987,1,20,1
1987-01-21,0.1442051827907562,0.1479298074700731,0.1356911533809298,0.138351600885369,108489600,1987,1,21,2
1987-01-22,0.1585728526115417,0.1591049367973983,0.1399485267982008,0.1442052276885306,116035200,1987,1,22,3
1987-01-23,0.1436731517314911,0.1649579270966683,0.1436731517314911,0.1585728616937331,317894400,1987,1,23,4
1987-01-26,0.1463335156440735,0.1479297857391423,0.1399484626672628,0.1447372546834928,116553600,1987,1,26,0
1987-01-27,0.1521871834993362,0.1543155294882406,0.1463335903317204,0.1463335903317204,114105600,1987,1,27,1
1987-01-28,0.1527193188667297,0.1548476745757243,0.147929901943049,0.1521872253722333,76723200,1987,1,28,2
1987-01-29,0.1463335156440735,0.1543154507266674,0.1431409937229122,0.1527191989005751,79228800,1987,1,29,3
1987-01-30,0.1556456536054611,0.1559116863832256,0.1442051297542627,0.1463334833212415,104169600,1987,1,30,4
1987-02-02,0.1553796678781509,0.1585728115815511,0.1553796678781509,0.1556457190367321,46915200,1987,2,2,0
1987-02-03,0.1527193188667297,0.1569760302847188,0.1500588696632388,0.1553797589357252,59328000,1987,2,3,1
1987-02-04,0.1532512903213501,0.1537833742893468,0.1511229361803856,0.1527192063533533,31737600,1987,2,4,2
1987-02-05,0.1521871834993362,0.1543155294882406,0.1505909217240347,0.1532513610610349,42652800,1987,2,5,3
1987-02-06,0.1465996205806732,0.1529852970474946,0.145801485240065,0.1521871617068864,45619200,1987,2,6,4
1987-02-09,0.1452694237232208,0.1463336013651576,0.1444712973426384,0.1463336013651576,136080000,1987,2,9,0
1987-02-10,0.1458014547824859,0.1458014547824859,0.1420768391951972,0.1452693616217363,44668800,1987,2,10,1
1987-02-11,0.1527193188667297,0.1527193188667297,0.1463336305940554,0.1463336305940554,60307200,1987,2,11,2
1987-02-12,0.1633616387844085,0.1641597741584155,0.1527192613694828,0.1527192613694828,185731200,1987,2,12,3
1987-02-13,0.16176538169384,0.165489988974381,0.1580407561443155,0.1633616341273646,81763200,1987,2,13,4
1987-02-17,0.1628295183181762,0.1633616023592126,0.158040725410889,0.1617653502361035,70732800,1987,2,17,1
1987-02-18,0.1527193188667297,0.1654900559973967,0.1521872253722333,0.1628296159284013,128592000,1987,2,18,2
1987-02-19,0.1463335156440735,0.1521871058240561,0.1447372546834928,0.1521871058240561,317750400,1987,2,19,3
1987-02-20,0.1447372883558273,0.1463335496877693,0.1426089338235777,0.1463335496877693,87897600,1987,2,20,4
1987-02-23,0.1537834256887436,0.1559117805410731,0.1415447778441458,0.1447373101226401,125913600,1987,2,23,0
1987-02-24,0.1612332910299301,0.1617653934821978,0.1537834365115309,0.1537834365115309,120816000,1987,2,24,1
1987-02-25,0.1585728526115417,0.1641597822354978,0.1575080630943413,0.1612332918098094,65001600,1987,2,25,2
1987-02-26,0.1644258350133896,0.169215250414718,0.1553797095470998,0.1585728541068214,145209600,1987,2,26,3
1987-02-27,0.1633616387844085,0.1654899936920991,0.1607011997170413,0.1644258253727458,37555200,1987,2,27,4
1987-03-02,0.1585728526115417,0.1633616468222205,0.1575080630943413,0.1633616468222205,79516800,1987,3,2,0
1987-03-03,0.1585728526115417,0.1601691234380963,0.1564438764536433,0.1585728526115417,81100800,1987,3,3,1
1987-03-04,0.1697472780942917,0.1702793621080272,0.158040717301929,0.1585728013156645,98179200,1987,3,4,2
1987-03-05,0.1777292340993881,0.1814538591494197,0.1697472970497974,0.1697472970497974,128188800,1987,3,5,3
